x,y,q
0,0.5309,3000
0,0.4778,2800
0,0.4247,2600
0,0.3716,2400
0,0.3185,2200
0,0.2655,2000
0,0.2124,1800
0,0.1593,1600
0,0.1062,1400
0,0.0531,1200
0,0,1000
0.0689,0.561,3000
0.0712,0.5069,2800
0.0735,0.4529,2600
0.0758,0.3989,2400
0.0781,0.3449,2200
0.0804,0.2908,2000
0.0828,0.2368,1800
0.0851,0.1828,1600
0.0874,0.1288,1400
0.0897,0.0747,1200
0.092,0.0207,1000
0.1366,0.5936,3000
0.1418,0.5421,2800
0.1469,0.4906,2600
0.1521,0.4391,2400
0.1573,0.3877,2200
0.1624,0.3362,2000
0.1676,0.2847,1800
0.1727,0.2332,1600
0.1779,0.1817,1400
0.1831,0.1302,1200
0.1882,0.0788,1000
0.203,0.6288,3000
0.211,0.5799,2800
0.2189,0.5311,2600
0.2268,0.4823,2400
0.2347,0.4335,2200
0.2426,0.3846,2000
0.2505,0.3358,1800
0.2584,0.287,1600
0.2663,0.2382,1400
0.2742,0.1893,1200
0.2821,0.1405,1000
0.2684,0.6659,3000
0.2789,0.6198,2800
0.2895,0.5738,2600
0.3001,0.5277,2400
0.3106,0.4817,2200
0.3212,0.4356,2000
0.3317,0.3895,1800
0.3423,0.3435,1600
0.3529,0.2974,1400
0.3634,0.2513,1200
0.374,0.2053,1000
0.3325,0.7051,3000
0.3457,0.6618,2800
0.3588,0.6185,2600
0.372,0.5752,2400
0.3852,0.5319,2200
0.3984,0.4886,2000
0.4116,0.4453,1800
0.4247,0.402,1600
0.4379,0.3587,1400
0.4511,0.3155,1200
0.4643,0.2722,1000
0.3954,0.7463,3000
0.4112,0.7057,2800
0.4269,0.6652,2600
0.4427,0.6247,2400
0.4584,0.5842,2200
0.4742,0.5437,2000
0.49,0.5032,1800
0.5057,0.4627,1600
0.5215,0.4222,1400
0.5372,0.3817,1200
0.553,0.3411,1000
0.4573,0.7888,3000
0.4756,0.7511,2800
0.4939,0.7134,2600
0.5123,0.6757,2400
0.5306,0.638,2200
0.5489,0.6003,2000
0.5672,0.5626,1800
0.5855,0.5249,1600
0.6038,0.4872,1400
0.6221,0.4495,1200
0.6404,0.4118,1000
0.5183,0.8329,3000
0.5391,0.798,2800
0.56,0.763,2600
0.5808,0.7281,2400
0.6016,0.6932,2200
0.6225,0.6583,2000
0.6433,0.6234,1800
0.6642,0.5885,1600
0.685,0.5536,1400
0.7059,0.5187,1200
0.7267,0.4838,1000
0.5782,0.8782,3000
0.6018,0.8474,2800
0.6253,0.8165,2600
0.6489,0.7856,2400
0.6724,0.7547,2200
0.696,0.7239,2000
0.7195,0.693,1800
0.7431,0.6621,1600
0.7666,0.6312,1400
0.7902,0.6004,1200
0.8137,0.5695,1000
0.6373,0.9247,3000
0.6636,0.8977,2800
0.69,0.8708,2600
0.7163,0.8438,2400
0.7427,0.8169,2200
0.769,0.7899,2000
0.7954,0.763,1800
0.8217,0.736,1600
0.8481,0.7091,1400
0.8744,0.6821,1200
0.9008,0.6552,1000
